Connection error occurred,"HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f620ac0fda0>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))"
Connection error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fd2c4a38208>, 'Connection to 51.254.152.142 timed out. (connect timeout=15.2)'))
2019-07-10 19:37:16.848519;Connection error occurred;HTTPConnectionPool(host='94.242.58.14', port=655): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d1a6208>, 'Connection to 94.242.58.14 timed out. (connect timeout=5.24)'))
2019-07-10 19:37:17.935368;Connection error occurred;HTTPConnectionPool(host='43.251.170.145', port=54948): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:18.347118;Connection error occurred;HTTPConnectionPool(host='138.197.157.60', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:18.925763;Connection error occurred;HTTPConnectionPool(host='103.228.119.69', port=4145): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:33.034307;Connection error occurred;HTTPConnectionPool(host='179.222.46.8', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2cf69470>, 'Connection to 179.222.46.8 timed out. (connect timeout=14.08)'))
2019-07-10 19:37:43.796621;Connection error occurred;HTTPConnectionPool(host='139.59.169.246', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2dc2c208>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:37:44.295075;Connection error occurred;HTTPConnectionPool(host='138.68.240.218', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:44.803108;Connection error occurred;HTTPConnectionPool(host='138.68.24.145', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:45.714764;Connection error occurred;HTTPConnectionPool(host='122.116.238.22', port=20005): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:37:46.512732;Connection error occurred;HTTPConnectionPool(host='190.128.247.70', port=4145): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:37:48.310797;Connection error occurred;HTTPConnectionPool(host='68.238.56.49', port=64312): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:55.315441;Connection error occurred;HTTPConnectionPool(host='110.49.101.58', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:55.930475;Connection error occurred;HTTPConnectionPool(host='181.112.159.194', port=56362): Max retries exceeded with url: http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:00.879416;Connection error occurred;HTTPConnectionPool(host='138.68.41.90', port=1080): Max retries exceeded with url: http://www.i28.com/new-balance-c-997/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:01.293253;Connection error occurred;HTTPConnectionPool(host='138.197.145.103', port=1080): Max retries exceeded with url: http://www.i28.com/new-balance-c-997/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:07.549000;Connection error occurred;HTTPConnectionPool(host='138.68.161.60', port=1080): Max retries exceeded with url: http://www.i28.com/new-balance-c-997/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d30aeb8>, 'Connection to 138.68.161.60 timed out. (connect timeout=6.24)'))
2019-07-10 19:38:16.930278;Connection error occurred;HTTPConnectionPool(host='200.93.224.222', port=4145): Max retries exceeded with url: http://www.i28.com/new-balance-c-997/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d308898>, 'Connection to 200.93.224.222 timed out. (connect timeout=9.36)'))
